Ensembl Protein ID	HGNC symbol
ENSP00000223208	CEP41
ENSP00000223210	ZNF862
ENSP00000223215	MEST
ENSP00000223271	RARRES2
ENSP00000223273	YAE1D1
ENSP00000223293	GIMAP2
ENSP00000223321	PSMA2
ENSP00000223324	MRPL32
ENSP00000223336	COA1
ENSP00000223357	AEBP1
ENSP00000223364	MYL7
ENSP00000223366	GCK
ENSP00000223368	BCL7B
ENSP00000223369	YKT6
ENSP00000223398	CLIP2
ENSP00000223428	ZNF510
ENSP00000223459	ZNF688
ENSP00000223500	CHMP5
ENSP00000223528	FKTN
ENSP00000223641	SEC61B
ENSP00000223642	C5
ENSP00000223795	TNFSF8
ENSP00000223862	RLN1
ENSP00000223864	PLGRKT
ENSP00000224073	EDF1
ENSP00000224140	SETX
ENSP00000224181	C8G
ENSP00000224237	VIM
ENSP00000224337	BLNK
ENSP00000224356	CYP26A1
ENSP00000224600	RBP3
ENSP00000224605	GDF10
ENSP00000224652	ATE1
ENSP00000224756	CCSER2
ENSP00000224784	ACTA2
ENSP00000224807	SFXN3
ENSP00000224862	FBXL15
ENSP00000224950	OBFC1
ENSP00000225171	DNAJC12
ENSP00000225174	PPIF
ENSP00000225235	TBC1D12
ENSP00000225245	CCL3
ENSP00000225275	MPO
ENSP00000225276	ST6GALNAC2
